step,action_name,reward,obs_start_menu_open,obs_distance_from_entrance,obs_distance_from_last_position_from_high_reward,map_id,x,y
1,UP,0.001,-1.0,1.0,-1.0,38,3,62,A,0.0,-1.0,1.0,-1.0,38,3,6
3,DOWN,0.0,-1.0,1.0,-1.0,38,3,6
4,UP,0.0,-1.0,1.0,-1.0,38,3,6
5,LEFT,0.0,-1.0,1.0,-1.0,38,3,6
6,RIGHT,0.0,-1.0,1.0,-1.0,38,3,6
7,RIGHT,0.0,-1.0,1.0,-1.0,38,3,6
8,A,0.0,-1.0,1.0,-1.0,38,3,6
9,LEFT,0.0,-1.0,1.0,-1.0,38,3,6
10,DOWN,0.0,-1.0,1.0,-1.0,38,3,6
11,RIGHT,0.0,-1.0,1.0,-1.0,38,3,6
12,A,0.0,-1.0,1.0,-1.0,38,3,6
13,UP,0.0,-1.0,1.0,-1.0,38,3,6
14,UP,0.0,-1.0,1.0,-1.0,38,3,6
15,B,0.0,-1.0,1.0,-1.0,38,3,6
16,DOWN,0.0,-1.0,1.0,-1.0,38,3,7
17,LEFT,0.0,-1.0,2.0,-1.0,38,2,7
18,UP,0.0,-1.0,3.0,-1.0,38,2,6
19,A,0.0,-1.0,2.0,-1.0,38,2,6
20,UP,0.0,-1.0,2.0,-1.0,38,2,5
21,B,0.0,-1.0,3.0,-1.0,38,2,5
22,DOWN,0.0,-1.0,3.0,-1.0,38,2,6
23,DOWN,0.0,-1.0,2.0,-1.0,38,2,7
24,A,0.0,-1.0,3.0,-1.0,38,2,7
25,B,0.0,-1.0,3.0,-1.0,38,2,7
26,RIGHT,0.0,-1.0,3.0,-1.0,38,3,7
27,UP,0.0,-1.0,2.0,-1.0,38,3,6
28,A,0.0,-1.0,1.0,-1.0,38,3,6
29,RIGHT,0.0,-1.0,1.0,-1.0,38,3,6
30,A,0.0,-1.0,1.0,-1.0,38,3,6
31,DOWN,0.0,-1.0,1.0,-1.0,38,3,6
32,A,0.0,-1.0,1.0,-1.0,38,3,6
33,RIGHT,0.0,-1.0,1.0,-1.0,38,3,6
34,LEFT,0.0,-1.0,1.0,-1.0,38,3,6
35,LEFT,0.0,-1.0,1.0,-1.0,38,3,6
36,DOWN,0.0,-1.0,1.0,-1.0,38,3,6
37,B,0.0,-1.0,1.0,-1.0,38,3,6
38,UP,0.0,-1.0,1.0,-1.0,38,3,6
39,DOWN,0.0,-1.0,1.0,-1.0,38,3,7
40,UP,0.0,-1.0,2.0,-1.0,38,3,6
41,DOWN,0.0,-1.0,1.0,-1.0,38,3,7
42,A,0.0,-1.0,2.0,-1.0,38,3,7
43,A,0.0,-1.0,2.0,-1.0,38,3,7
44,UP,0.0,-1.0,2.0,-1.0,38,3,6
45,DOWN,0.0,-1.0,1.0,-1.0,38,3,7
46,DOWN,0.0,-1.0,2.0,-1.0,38,3,7
47,RIGHT,0.0,-1.0,2.0,-1.0,38,4,7
48,UP,0.0,-1.0,1.0,-1.0,38,4,6
49,A,0.0,-1.0,0.0,-1.0,38,4,6
50,A,0.0,-1.0,0.0,-1.0,38,4,6
51,DOWN,0.0,-1.0,0.0,-1.0,38,4,7
52,LEFT,0.0,-1.0,1.0,-1.0,38,3,7
53,B,0.0,-1.0,2.0,-1.0,38,3,7
54,A,0.0,-1.0,2.0,-1.0,38,3,7
55,UP,0.0,-1.0,2.0,-1.0,38,3,6
56,RIGHT,0.0,-1.0,1.0,-1.0,38,4,6
57,A,0.0,-1.0,0.0,-1.0,38,4,6
58,LEFT,0.0,-1.0,0.0,-1.0,38,3,6
59,B,0.0,-1.0,1.0,-1.0,38,3,6
60,A,0.0,-1.0,1.0,-1.0,38,3,6
61,UP,0.0,-1.0,1.0,-1.0,38,3,6
62,A,0.0,-1.0,1.0,-1.0,38,3,6
63,UP,0.0,-1.0,1.0,-1.0,38,3,6
64,LEFT,0.0,-1.0,1.0,-1.0,38,3,6
65,RIGHT,0.0,-1.0,1.0,-1.0,38,3,6
66,DOWN,0.0,-1.0,1.0,-1.0,38,3,6
67,B,0.0,-1.0,1.0,-1.0,38,3,6
68,B,0.0,-1.0,1.0,-1.0,38,3,6
69,LEFT,0.0,-1.0,1.0,-1.0,38,3,6
70,A,0.0,-1.0,1.0,-1.0,38,3,6
71,UP,0.0,-1.0,1.0,-1.0,38,3,6
72,B,0.0,-1.0,1.0,-1.0,38,3,6
73,DOWN,0.0,-1.0,1.0,-1.0,38,3,7
74,LEFT,0.0,-1.0,2.0,-1.0,38,2,7
75,A,0.0,-1.0,3.0,-1.0,38,2,7
76,LEFT,0.0,-1.0,3.0,-1.0,38,1,7
77,A,0.0,-1.0,4.0,-1.0,38,1,7
78,B,0.0,-1.0,4.0,-1.0,38,1,7
79,DOWN,0.0,-1.0,4.0,-1.0,38,1,7
80,LEFT,0.0,-1.0,4.0,-1.0,38,1,7
81,UP,0.0,-1.0,4.0,-1.0,38,1,6
82,B,0.0,-1.0,3.0,-1.0,38,1,6
83,DOWN,0.0,-1.0,3.0,-1.0,38,1,7
84,UP,0.0,-1.0,4.0,-1.0,38,1,6
85,B,0.0,-1.0,3.0,-1.0,38,1,6
86,A,0.0,-1.0,3.0,-1.0,38,1,6
87,RIGHT,0.0,-1.0,3.0,-1.0,38,2,6
88,A,0.0,-1.0,2.0,-1.0,38,2,6
89,A,0.0,-1.0,2.0,-1.0,38,2,6
90,B,0.0,-1.0,2.0,-1.0,38,2,6
91,A,0.0,-1.0,2.0,-1.0,38,2,6
92,A,0.0,-1.0,2.0,-1.0,38,2,6
93,UP,0.0,-1.0,2.0,-1.0,38,2,5
94,DOWN,0.0,-1.0,3.0,-1.0,38,2,6
95,B,0.0,-1.0,2.0,-1.0,38,2,6
96,LEFT,0.0,-1.0,2.0,-1.0,38,1,6
97,DOWN,0.0,-1.0,3.0,-1.0,38,1,7
98,RIGHT,0.0,-1.0,4.0,-1.0,38,2,7
99,A,0.0,-1.0,3.0,-1.0,38,2,7
100,UP,0.0,-1.0,3.0,-1.0,38,2,6
101,A,0.0,-1.0,2.0,-1.0,38,2,6
102,DOWN,0.0,-1.0,2.0,-1.0,38,2,7
103,DOWN,0.0,-1.0,3.0,-1.0,38,2,7
104,B,0.0,-1.0,3.0,-1.0,38,2,7
105,A,0.0,-1.0,3.0,-1.0,38,2,7
106,DOWN,0.0,-1.0,3.0,-1.0,38,2,7
107,RIGHT,0.0,-1.0,3.0,-1.0,38,3,7
108,RIGHT,0.0,-1.0,2.0,-1.0,38,4,7
109,UP,0.0,-1.0,1.0,-1.0,38,4,6
110,B,0.0,-1.0,0.0,-1.0,38,4,6
111,A,0.0,-1.0,0.0,-1.0,38,4,6
112,UP,0.0,-1.0,0.0,-1.0,38,4,5
113,DOWN,0.0,-1.0,1.0,-1.0,38,4,6
114,UP,0.0,-1.0,0.0,-1.0,38,4,5
115,B,0.0,-1.0,1.0,-1.0,38,4,5
116,UP,0.0,-1.0,1.0,-1.0,38,4,4
117,DOWN,0.0,-1.0,2.0,-1.0,38,4,5
118,DOWN,0.0,-1.0,1.0,-1.0,38,4,6
119,RIGHT,0.0,-1.0,0.0,-1.0,38,5,6
120,UP,0.0,-1.0,1.0,-1.0,38,5,5
121,RIGHT,0.0,-1.0,2.0,-1.0,38,6,5
