step,action_name,reward,obs_distance_from_entrance,obs_distance_from_last_position_from_high_reward,obs_reward_taken_flag,obs_relevant_thing_in_current_map,map_id,x,y
1,UP,0.01,1.0,-1.0,-1.0,0.0,38,3,6
2,LEFT,0.01,1.0,-1.0,-1.0,0.0,38,2,6
3,UP,0.01,2.0,-1.0,-1.0,0.0,38,2,5
4,RIGHT,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
5,B,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
6,RIGHT,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
7,RIGHT,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
8,B,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
9,UP,0.01,3.0,-1.0,-1.0,0.0,38,2,4
10,A,-0.001,4.0,-1.0,-1.0,0.0,38,2,4
11,A,-0.001,4.0,-1.0,-1.0,0.0,38,2,4
12,A,-0.001,4.0,-1.0,-1.0,0.0,38,2,4
13,B,-0.001,4.0,-1.0,-1.0,0.0,38,2,4
14,A,-0.001,4.0,-1.0,-1.0,0.0,38,2,4
15,RIGHT,-0.001,4.0,-1.0,-1.0,0.0,38,2,4
16,DOWN,0.01,4.0,-1.0,-1.0,0.0,38,2,5
17,UP,0.01,3.0,-1.0,-1.0,0.0,38,2,4
18,RIGHT,-0.001,4.0,-1.0,-1.0,0.0,38,2,4
19,RIGHT,-0.001,4.0,-1.0,-1.0,0.0,38,2,4
20,DOWN,0.01,4.0,-1.0,-1.0,0.0,38,2,5
21,DOWN,0.01,3.0,-1.0,-1.0,0.0,38,2,6
22,RIGHT,0.01,2.0,-1.0,-1.0,0.0,38,3,6
23,A,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
24,UP,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
25,A,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
26,RIGHT,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
27,DOWN,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
28,RIGHT,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
29,RIGHT,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
30,RIGHT,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
31,LEFT,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
32,LEFT,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
33,DOWN,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
34,LEFT,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
35,A,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
36,LEFT,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
37,A,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
38,LEFT,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
39,LEFT,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
40,UP,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
41,UP,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
42,DOWN,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
43,B,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
44,B,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
45,RIGHT,0.01,1.0,-1.0,-1.0,0.0,38,4,6
46,A,-0.001,0.0,-1.0,-1.0,0.0,38,4,6
47,UP,0.01,0.0,-1.0,-1.0,0.0,38,4,5
48,LEFT,-0.001,1.0,-1.0,-1.0,0.0,38,4,5
49,DOWN,0.01,1.0,-1.0,-1.0,0.0,38,4,6
50,DOWN,0.01,0.0,-1.0,-1.0,0.0,38,4,7
51,UP,0.01,1.0,-1.0,-1.0,0.0,38,4,6
52,B,-0.001,0.0,-1.0,-1.0,0.0,38,4,6
53,RIGHT,0.01,0.0,-1.0,-1.0,0.0,38,5,6
54,LEFT,0.01,1.0,-1.0,-1.0,0.0,38,4,6
55,B,-0.001,0.0,-1.0,-1.0,0.0,38,4,6
56,RIGHT,0.01,0.0,-1.0,-1.0,0.0,38,5,6
57,DOWN,0.01,1.0,-1.0,-1.0,0.0,38,5,7
58,UP,0.01,2.0,-1.0,-1.0,0.0,38,5,6
59,RIGHT,-0.001,1.0,-1.0,-1.0,0.0,38,5,6
60,LEFT,0.01,1.0,-1.0,-1.0,0.0,38,4,6
61,UP,0.01,0.0,-1.0,-1.0,0.0,38,4,5
62,DOWN,0.01,1.0,-1.0,-1.0,0.0,38,4,6
63,UP,0.01,0.0,-1.0,-1.0,0.0,38,4,5
64,RIGHT,0.01,1.0,-1.0,-1.0,0.0,38,5,5
65,DOWN,0.01,2.0,-1.0,-1.0,0.0,38,5,6
66,RIGHT,-0.001,1.0,-1.0,-1.0,0.0,38,5,6
67,RIGHT,-0.001,1.0,-1.0,-1.0,0.0,38,5,6
68,UP,0.01,1.0,-1.0,-1.0,0.0,38,5,5
69,LEFT,0.01,2.0,-1.0,-1.0,0.0,38,4,5
70,UP,0.01,1.0,-1.0,-1.0,0.0,38,4,4
71,B,-0.001,2.0,-1.0,-1.0,0.0,38,4,4
72,RIGHT,0.01,2.0,-1.0,-1.0,0.0,38,5,4
73,UP,0.01,3.0,-1.0,-1.0,0.0,38,5,3
74,DOWN,0.01,4.0,-1.0,-1.0,0.0,38,5,4
75,A,-0.001,3.0,-1.0,-1.0,0.0,38,5,4
76,UP,0.01,3.0,-1.0,-1.0,0.0,38,5,3
77,B,-0.001,4.0,-1.0,-1.0,0.0,38,5,3
78,LEFT,0.01,4.0,-1.0,-1.0,0.0,38,4,3
79,DOWN,0.01,3.0,-1.0,-1.0,0.0,38,4,4
80,B,-0.001,2.0,-1.0,-1.0,0.0,38,4,4
81,A,-0.001,2.0,-1.0,-1.0,0.0,38,4,4
82,B,-0.001,2.0,-1.0,-1.0,0.0,38,4,4
83,LEFT,-0.001,2.0,-1.0,-1.0,0.0,38,4,4
84,A,-0.001,2.0,-1.0,-1.0,0.0,38,4,4
85,UP,0.01,2.0,-1.0,-1.0,0.0,38,4,3
86,LEFT,0.01,3.0,-1.0,-1.0,0.0,38,3,3
87,DOWN,-0.001,4.0,-1.0,-1.0,0.0,38,3,3
88,LEFT,0.01,4.0,-1.0,-1.0,0.0,38,2,3
89,UP,0.01,5.0,-1.0,-1.0,0.0,38,2,2
90,UP,-0.001,6.0,-1.0,-1.0,0.0,38,2,2
91,UP,-0.001,6.0,-1.0,-1.0,0.0,38,2,2
92,A,-0.001,6.0,-1.0,-1.0,0.0,38,2,2
93,LEFT,0.01,6.0,-1.0,-1.0,0.0,38,1,2
94,A,-0.001,7.0,-1.0,-1.0,0.0,38,1,2
95,RIGHT,0.01,7.0,-1.0,-1.0,0.0,38,2,2
96,RIGHT,0.01,6.0,-1.0,-1.0,0.0,38,3,2
97,B,-0.001,5.0,-1.0,-1.0,0.0,38,3,2
98,DOWN,0.01,5.0,-1.0,-1.0,0.0,38,3,3
99,B,-0.001,4.0,-1.0,-1.0,0.0,38,3,3
100,UP,0.01,4.0,-1.0,-1.0,0.0,38,3,2
101,B,-0.001,5.0,-1.0,-1.0,0.0,38,3,2
102,RIGHT,0.01,5.0,-1.0,-1.0,0.0,38,4,2
103,RIGHT,0.01,4.0,-1.0,-1.0,0.0,38,5,2
104,A,-0.001,5.0,-1.0,-1.0,0.0,38,5,2
105,RIGHT,0.01,5.0,-1.0,-1.0,0.0,38,6,2
106,A,-0.001,6.0,-1.0,-1.0,0.0,38,6,2
107,DOWN,0.01,6.0,-1.0,-1.0,0.0,38,6,3
108,A,-0.001,5.0,-1.0,-1.0,0.0,38,6,3
109,RIGHT,0.01,5.0,-1.0,-1.0,0.0,38,7,3
110,LEFT,0.01,6.0,-1.0,-1.0,0.0,38,6,3
111,DOWN,0.01,5.0,-1.0,-1.0,0.0,38,6,4
112,A,-0.001,4.0,-1.0,-1.0,0.0,38,6,4
113,RIGHT,0.01,4.0,-1.0,-1.0,0.0,38,7,4
114,UP,0.01,5.0,-1.0,-1.0,0.0,38,7,3
