step,action_name,reward,obs_distance_from_entrance,obs_distance_from_last_position_from_high_reward,obs_reward_taken_flag,obs_relevant_thing_in_current_map,map_id,x,y
1,B,0.0,0.0,0.0,1.0,0.0,38,3,6
2,UP,-0.01,0.0,0.0,1.0,0.0,38,3,6
3,UP,-0.01,0.0,0.0,1.0,0.0,38,3,6
4,B,-0.01,0.0,0.0,1.0,0.0,38,3,6
5,DOWN,0.0,0.0,0.0,1.0,0.0,38,3,7
6,UP,0.0,0.0,0.0,1.0,0.0,38,3,6
7,A,-0.01,0.0,0.0,1.0,0.0,38,3,6
8,DOWN,-0.01,0.0,0.0,1.0,0.0,38,3,6
9,UP,-0.01,0.0,0.0,1.0,0.0,38,3,6
10,RIGHT,-0.01,0.0,0.0,1.0,0.0,38,3,6
11,DOWN,-0.01,0.0,0.0,1.0,0.0,38,3,6
12,RIGHT,-0.01,0.0,0.0,1.0,0.0,38,3,6
13,LEFT,-0.01,0.0,0.0,1.0,0.0,38,3,6
14,RIGHT,-0.01,0.0,0.0,1.0,0.0,38,3,6
15,LEFT,-0.01,0.0,0.0,1.0,0.0,38,3,6
16,UP,-0.01,0.0,0.0,1.0,0.0,38,3,6
17,A,-0.01,0.0,0.0,1.0,0.0,38,3,6
18,A,-0.01,0.0,0.0,1.0,0.0,38,3,6
19,A,-0.01,0.0,0.0,1.0,0.0,38,3,6
20,LEFT,0.0,0.0,0.0,1.0,0.0,38,2,6
21,RIGHT,0.0,0.0,0.0,1.0,0.0,38,3,6
22,LEFT,0.0,0.0,0.0,1.0,0.0,38,2,6
23,B,-0.01,0.0,0.0,1.0,0.0,38,2,6
24,B,-0.01,0.0,0.0,1.0,0.0,38,2,6
25,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,6
26,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,6
27,B,-0.01,0.0,0.0,1.0,0.0,38,2,6
28,A,-0.01,0.0,0.0,1.0,0.0,38,2,6
29,UP,0.0,0.0,0.0,1.0,0.0,38,2,5
30,RIGHT,-0.01,0.0,0.0,1.0,0.0,38,2,5
31,B,-0.01,0.0,0.0,1.0,0.0,38,2,5
32,B,-0.01,0.0,0.0,1.0,0.0,38,2,5
33,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,6
34,UP,0.0,0.0,0.0,1.0,0.0,38,2,5
35,UP,0.0,0.0,0.0,1.0,0.0,38,2,4
36,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,5
37,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,6
38,A,-0.01,0.0,0.0,1.0,0.0,38,2,6
39,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,7
40,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,7
41,DOWN,-0.01,0.0,0.0,1.0,0.0,38,1,7
42,A,-0.01,0.0,0.0,1.0,0.0,38,1,7
43,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,7
44,UP,0.0,0.0,0.0,1.0,0.0,38,2,6
45,B,-0.01,0.0,0.0,1.0,0.0,38,2,6
46,RIGHT,0.0,0.0,0.0,1.0,0.0,38,3,6
47,UP,-0.01,0.0,0.0,1.0,0.0,38,3,6
48,LEFT,0.0,0.0,0.0,1.0,0.0,38,2,6
49,RIGHT,0.0,0.0,0.0,1.0,0.0,38,3,6
50,LEFT,0.0,0.0,0.0,1.0,0.0,38,2,6
51,RIGHT,0.0,0.0,0.0,1.0,0.0,38,3,6
52,B,-0.01,0.0,0.0,1.0,0.0,38,3,6
53,A,-0.01,0.0,0.0,1.0,0.0,38,3,6
54,UP,-0.01,0.0,0.0,1.0,0.0,38,3,6
55,UP,-0.01,0.0,0.0,1.0,0.0,38,3,6
56,LEFT,0.0,0.0,0.0,1.0,0.0,38,2,6
57,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,7
58,A,-0.01,0.0,0.0,1.0,0.0,38,2,7
59,DOWN,-0.01,0.0,0.0,1.0,0.0,38,2,7
60,DOWN,-0.01,0.0,0.0,1.0,0.0,38,2,7
61,UP,0.0,0.0,0.0,1.0,0.0,38,2,6
62,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,7
63,DOWN,-0.01,0.0,0.0,1.0,0.0,38,2,7
64,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,7
65,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,7
66,RIGHT,0.0,0.0,0.0,1.0,0.0,38,3,7
67,B,-0.01,0.0,0.0,1.0,0.0,38,3,7
68,A,-0.01,0.0,0.0,1.0,0.0,38,3,7
69,A,-0.01,0.0,0.0,1.0,0.0,38,3,7
70,LEFT,0.0,0.0,0.0,1.0,0.0,38,2,7
71,A,-0.01,0.0,0.0,1.0,0.0,38,2,7
72,UP,0.0,0.0,0.0,1.0,0.0,38,2,6
73,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,7
74,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,7
75,B,-0.01,0.0,0.0,1.0,0.0,38,1,7
76,LEFT,-0.01,0.0,0.0,1.0,0.0,38,1,7
77,UP,0.0,0.0,0.0,1.0,0.0,38,1,6
78,LEFT,-0.01,0.0,0.0,1.0,0.0,38,1,6
79,UP,0.0,0.0,0.0,1.0,0.0,38,1,5
80,DOWN,0.0,0.0,0.0,1.0,0.0,38,1,6
81,A,-0.01,0.0,0.0,1.0,0.0,38,1,6
82,B,-0.01,0.0,0.0,1.0,0.0,38,1,6
83,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,6
84,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,6
85,A,-0.01,0.0,0.0,1.0,0.0,38,1,6
86,A,-0.01,0.0,0.0,1.0,0.0,38,1,6
87,LEFT,-0.01,0.0,0.0,1.0,0.0,38,1,6
88,UP,0.0,0.0,0.0,1.0,0.0,38,1,5
89,LEFT,0.0,0.0,0.0,1.0,0.0,38,0,5
90,DOWN,-0.01,0.0,0.0,1.0,0.0,38,0,5
91,DOWN,-0.01,0.0,0.0,1.0,0.0,38,0,5
92,RIGHT,0.0,0.0,0.0,1.0,0.0,38,1,5
93,A,-0.01,0.0,0.0,1.0,0.0,38,1,5
94,B,-0.01,0.0,0.0,1.0,0.0,38,1,5
95,DOWN,0.0,0.0,0.0,1.0,0.0,38,1,6
96,DOWN,0.0,0.0,0.0,1.0,0.0,38,1,7
97,LEFT,-0.01,0.0,0.0,1.0,0.0,38,1,7
98,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,7
99,B,-0.01,0.0,0.0,1.0,0.0,38,2,7
100,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,7
101,LEFT,-0.01,0.0,0.0,1.0,0.0,38,1,7
102,UP,0.0,0.0,0.0,1.0,0.0,38,1,6
103,A,-0.01,0.0,0.0,1.0,0.0,38,1,6
104,DOWN,0.0,0.0,0.0,1.0,0.0,38,1,7
105,UP,0.0,0.0,0.0,1.0,0.0,38,1,6
106,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,6
107,A,-0.01,0.0,0.0,1.0,0.0,38,2,6
108,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,6
109,A,-0.01,0.0,0.0,1.0,0.0,38,1,6
110,UP,0.0,0.0,0.0,1.0,0.0,38,1,5
111,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,5
112,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,5
113,LEFT,0.0,0.0,0.0,1.0,0.0,38,0,5
114,A,-0.01,0.0,0.0,1.0,0.0,38,0,5
115,DOWN,-0.01,0.0,0.0,1.0,0.0,38,0,5
116,RIGHT,0.0,0.0,0.0,1.0,0.0,38,1,5
117,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,5
