step,action_name,reward,obs_distance_from_entrance,obs_distance_from_last_position_from_high_reward,obs_reward_taken_flag,obs_relevant_thing_in_current_map,map_id,x,y
1,DOWN,0.0,0.0,0.0,1.0,0.0,38,3,7
2,B,0.0,0.0,0.0,1.0,0.0,38,3,7
3,RIGHT,0.0,0.0,0.0,1.0,0.0,38,4,7
4,DOWN,0.0,0.0,0.0,1.0,0.0,38,4,7
5,RIGHT,0.0,0.0,0.0,1.0,0.0,38,5,7
6,B,0.0,0.0,0.0,1.0,0.0,38,5,7
7,A,0.0,0.0,0.0,1.0,0.0,38,5,7
8,LEFT,0.0,0.0,0.0,1.0,0.0,38,4,7
9,UP,0.0,0.0,0.0,1.0,0.0,38,4,6
10,LEFT,0.0,0.0,0.0,1.0,0.0,38,3,6
11,B,0.0,0.0,0.0,1.0,0.0,38,3,6
12,RIGHT,0.0,0.0,0.0,1.0,0.0,38,4,6
13,DOWN,0.0,0.0,0.0,1.0,0.0,38,4,7
14,B,0.0,0.0,0.0,1.0,0.0,38,4,7
15,DOWN,0.0,0.0,0.0,1.0,0.0,38,4,7
16,LEFT,0.0,0.0,0.0,1.0,0.0,38,3,7
17,DOWN,0.0,0.0,0.0,1.0,0.0,38,3,7
18,LEFT,0.0,0.0,0.0,1.0,0.0,38,2,7
19,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,7
20,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,7
21,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,7
22,B,0.0,0.0,0.0,1.0,0.0,38,2,7
23,UP,0.0,0.0,0.0,1.0,0.0,38,2,6
24,RIGHT,0.0,0.0,0.0,1.0,0.0,38,3,6
25,RIGHT,0.0,0.0,0.0,1.0,0.0,38,4,6
26,UP,0.0,0.0,0.0,1.0,0.0,38,4,5
27,RIGHT,0.0,0.0,0.0,1.0,0.0,38,5,5
28,B,0.0,0.0,0.0,1.0,0.0,38,5,5
29,A,0.0,0.0,0.0,1.0,0.0,38,5,5
30,UP,0.0,0.0,0.0,1.0,0.0,38,5,4
31,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,5
32,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,6
33,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,7
34,RIGHT,0.0,0.0,0.0,1.0,0.0,38,5,7
35,UP,0.0,0.0,0.0,1.0,0.0,38,5,6
36,LEFT,0.0,0.0,0.0,1.0,0.0,38,4,6
37,A,0.0,0.0,0.0,1.0,0.0,38,4,6
38,B,0.0,0.0,0.0,1.0,0.0,38,4,6
39,DOWN,0.0,0.0,0.0,1.0,0.0,38,4,7
40,LEFT,0.0,0.0,0.0,1.0,0.0,38,3,7
41,RIGHT,0.0,0.0,0.0,1.0,0.0,38,4,7
42,LEFT,0.0,0.0,0.0,1.0,0.0,38,3,7
43,LEFT,0.0,0.0,0.0,1.0,0.0,38,2,7
44,B,0.0,0.0,0.0,1.0,0.0,38,2,7
45,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,7
46,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,7
47,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,7
48,A,0.0,0.0,0.0,1.0,0.0,38,2,7
49,RIGHT,0.0,0.0,0.0,1.0,0.0,38,3,7
50,UP,0.0,0.0,0.0,1.0,0.0,38,3,6
51,B,0.0,0.0,0.0,1.0,0.0,38,3,6
52,UP,0.0,0.0,0.0,1.0,0.0,38,3,6
53,LEFT,0.0,0.0,0.0,1.0,0.0,38,2,6
54,RIGHT,0.0,0.0,0.0,1.0,0.0,38,3,6
55,A,0.0,0.0,0.0,1.0,0.0,38,3,6
56,RIGHT,0.0,0.0,0.0,1.0,0.0,38,4,6
57,DOWN,0.0,0.0,0.0,1.0,0.0,38,4,7
58,RIGHT,0.0,0.0,0.0,1.0,0.0,38,5,7
59,UP,0.0,0.0,0.0,1.0,0.0,38,5,6
60,LEFT,0.0,0.0,0.0,1.0,0.0,38,4,6
61,A,0.0,0.0,0.0,1.0,0.0,38,4,6
62,RIGHT,0.0,0.0,0.0,1.0,0.0,38,5,6
63,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,7
64,B,0.0,0.0,0.0,1.0,0.0,38,5,7
65,A,0.0,0.0,0.0,1.0,0.0,38,5,7
66,RIGHT,0.0,0.0,0.0,1.0,0.0,38,5,7
67,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,7
68,A,0.0,0.0,0.0,1.0,0.0,38,5,7
69,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,7
70,UP,0.0,0.0,0.0,1.0,0.0,38,5,6
71,RIGHT,0.0,0.0,0.0,1.0,0.0,38,5,6
72,A,0.0,0.0,0.0,1.0,0.0,38,5,6
73,B,0.0,0.0,0.0,1.0,0.0,38,5,6
74,LEFT,0.0,0.0,0.0,1.0,0.0,38,4,6
75,A,0.0,0.0,0.0,1.0,0.0,38,4,6
76,A,0.0,0.0,0.0,1.0,0.0,38,4,6
77,RIGHT,0.0,0.0,0.0,1.0,0.0,38,5,6
78,UP,0.0,0.0,0.0,1.0,0.0,38,5,5
79,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,6
80,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,7
81,A,0.0,0.0,0.0,1.0,0.0,38,5,7
82,UP,0.0,0.0,0.0,1.0,0.0,38,5,6
83,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,7
84,UP,0.0,0.0,0.0,1.0,0.0,38,5,6
85,UP,0.0,0.0,0.0,1.0,0.0,38,5,5
86,RIGHT,0.0,0.0,0.0,1.0,0.0,38,6,5
87,A,0.0,0.0,0.0,1.0,0.0,38,6,5
88,A,0.0,0.0,0.0,1.0,0.0,38,6,5
89,DOWN,0.0,0.0,0.0,1.0,0.0,38,6,5
90,B,0.0,0.0,0.0,1.0,0.0,38,6,5
91,DOWN,0.0,0.0,0.0,1.0,0.0,38,6,5
92,LEFT,0.0,0.0,0.0,1.0,0.0,38,5,5
93,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,6
94,RIGHT,0.0,0.0,0.0,1.0,0.0,38,5,6
95,A,0.0,0.0,0.0,1.0,0.0,38,5,6
96,UP,0.0,0.0,0.0,1.0,0.0,38,5,5
97,UP,0.0,0.0,0.0,1.0,0.0,38,5,4
98,UP,0.0,0.0,0.0,1.0,0.0,38,5,3
99,LEFT,0.0,0.0,0.0,1.0,0.0,38,4,3
100,A,0.0,0.0,0.0,1.0,0.0,38,4,3
101,B,0.0,0.0,0.0,1.0,0.0,38,4,3
102,RIGHT,0.0,0.0,0.0,1.0,0.0,38,5,3
103,DOWN,0.0,0.0,0.0,1.0,0.0,38,5,4
104,LEFT,0.0,0.0,0.0,1.0,0.0,38,4,4
105,A,0.0,0.0,0.0,1.0,0.0,38,4,4
106,UP,0.0,0.0,0.0,1.0,0.0,38,4,3
107,LEFT,0.0,0.0,0.0,1.0,0.0,38,3,3
108,DOWN,0.0,0.0,0.0,1.0,0.0,38,3,3
109,DOWN,0.0,0.0,0.0,1.0,0.0,38,3,3
110,LEFT,0.0,0.0,0.0,1.0,0.0,38,2,3
111,A,0.0,0.0,0.0,1.0,0.0,38,2,3
112,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,4
113,UP,0.0,0.0,0.0,1.0,0.0,38,2,3
114,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,4
115,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,4
116,UP,0.0,0.0,0.0,1.0,0.0,38,2,3
117,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,3
118,LEFT,0.0,0.0,0.0,1.0,0.0,38,0,3
119,LEFT,0.0,0.0,0.0,1.0,0.0,38,0,3
120,RIGHT,0.0,0.0,0.0,1.0,0.0,38,1,3
121,LEFT,0.0,0.0,0.0,1.0,0.0,38,0,3
122,B,0.0,0.0,0.0,1.0,0.0,38,0,3
123,LEFT,0.0,0.0,0.0,1.0,0.0,38,0,3
124,A,0.0,0.0,0.0,1.0,0.0,38,0,3
125,DOWN,0.0,0.0,0.0,1.0,0.0,38,0,4
126,UP,0.0,0.0,0.0,1.0,0.0,38,0,3
127,DOWN,0.0,0.0,0.0,1.0,0.0,38,0,4
128,UP,0.0,0.0,0.0,1.0,0.0,38,0,3
129,A,0.0,0.0,0.0,1.0,0.0,38,0,3
130,RIGHT,0.0,0.0,0.0,1.0,0.0,38,1,3
131,A,0.0,0.0,0.0,1.0,0.0,38,1,3
132,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,3
133,UP,0.0,0.0,0.0,1.0,0.0,38,2,2
134,B,0.0,0.0,0.0,1.0,0.0,38,2,2
135,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,2
136,DOWN,0.0,0.0,0.0,1.0,0.0,38,1,3
137,DOWN,0.0,0.0,0.0,1.0,0.0,38,1,4
138,UP,0.0,0.0,0.0,1.0,0.0,38,1,3
139,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,3
140,B,0.0,0.0,0.0,1.0,0.0,38,2,3
141,A,0.0,0.0,0.0,1.0,0.0,38,2,3
142,DOWN,0.0,0.0,0.0,1.0,0.0,38,2,4
143,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,4
144,DOWN,0.0,0.0,0.0,1.0,0.0,38,1,5
145,UP,0.0,0.0,0.0,1.0,0.0,38,1,4
146,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,4
147,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,4
148,RIGHT,0.0,0.0,0.0,1.0,0.0,38,2,4
149,LEFT,0.0,0.0,0.0,1.0,0.0,38,1,4
150,LEFT,0.0,0.0,0.0,1.0,0.0,38,0,4
151,B,0.0,0.0,0.0,1.0,0.0,38,0,4
152,UP,0.0,0.0,0.0,1.0,0.0,38,0,3
153,A,0.0,0.0,0.0,1.0,0.0,38,0,3
