step,action_name,reward,obs_distance_from_entrance,obs_distance_from_last_position_from_high_reward,obs_reward_taken_flag,obs_relevant_thing_in_current_map,map_id,x,y
1,UP,0.001,1.0,-1.0,-1.0,0.0,38,3,6
2,DOWN,0.001,1.0,-1.0,-1.0,0.0,38,3,7
3,UP,0.001,2.0,-1.0,-1.0,0.0,38,3,6
4,LEFT,0.001,1.0,-1.0,-1.0,0.0,38,2,6
5,RIGHT,0.001,2.0,-1.0,-1.0,0.0,38,3,6
6,DOWN,0.001,1.0,-1.0,-1.0,0.0,38,3,7
7,A,-0.001,2.0,-1.0,-1.0,0.0,38,3,7
8,UP,0.001,2.0,-1.0,-1.0,0.0,38,3,6
9,B,-0.001,1.0,-1.0,-1.0,0.0,38,3,6
10,LEFT,0.001,1.0,-1.0,-1.0,0.0,38,2,6
11,LEFT,0.001,2.0,-1.0,-1.0,0.0,38,1,6
12,DOWN,0.001,3.0,-1.0,-1.0,0.0,38,1,7
13,A,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
14,LEFT,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
15,DOWN,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
16,LEFT,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
17,DOWN,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
18,A,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
19,B,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
20,A,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
21,DOWN,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
22,LEFT,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
23,B,-0.001,4.0,-1.0,-1.0,0.0,38,1,7
24,UP,0.001,4.0,-1.0,-1.0,0.0,38,1,6
25,A,-0.001,3.0,-1.0,-1.0,0.0,38,1,6
26,RIGHT,0.001,3.0,-1.0,-1.0,0.0,38,2,6
27,UP,0.001,2.0,-1.0,-1.0,0.0,38,2,5
28,LEFT,0.001,3.0,-1.0,-1.0,0.0,38,1,5
29,UP,0.001,4.0,-1.0,-1.0,0.0,38,1,4
30,DOWN,0.001,5.0,-1.0,-1.0,0.0,38,1,5
31,A,-0.001,4.0,-1.0,-1.0,0.0,38,1,5
32,A,-0.001,4.0,-1.0,-1.0,0.0,38,1,5
33,A,-0.001,4.0,-1.0,-1.0,0.0,38,1,5
34,UP,0.001,4.0,-1.0,-1.0,0.0,38,1,4
35,B,-0.001,5.0,-1.0,-1.0,0.0,38,1,4
36,A,-0.001,5.0,-1.0,-1.0,0.0,38,1,4
37,DOWN,0.001,5.0,-1.0,-1.0,0.0,38,1,5
38,LEFT,0.001,4.0,-1.0,-1.0,0.0,38,0,5
39,B,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
40,A,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
41,UP,0.001,5.0,-1.0,-1.0,0.0,38,0,4
42,UP,0.001,6.0,-1.0,-1.0,0.0,38,0,3
43,UP,0.001,7.0,-1.0,-1.0,0.0,38,0,2
44,B,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
45,LEFT,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
46,A,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
47,UP,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
48,LEFT,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
49,UP,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
50,UP,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
51,UP,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
52,UP,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
53,A,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
54,A,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
55,RIGHT,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
56,B,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
57,RIGHT,0.001,8.0,-1.0,-1.0,0.0,38,1,2
58,UP,-0.001,7.0,-1.0,-1.0,0.0,38,1,2
59,A,-0.001,7.0,-1.0,-1.0,0.0,38,1,2
60,B,-0.001,7.0,-1.0,-1.0,0.0,38,1,2
61,A,-0.001,7.0,-1.0,-1.0,0.0,38,1,2
62,UP,-0.001,7.0,-1.0,-1.0,0.0,38,1,2
63,A,-0.001,7.0,-1.0,-1.0,0.0,38,1,2
64,LEFT,0.001,7.0,-1.0,-1.0,0.0,38,0,2
65,LEFT,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
66,B,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
67,UP,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
68,LEFT,-0.001,8.0,-1.0,-1.0,0.0,38,0,2
69,RIGHT,0.001,8.0,-1.0,-1.0,0.0,38,1,2
70,A,-0.001,7.0,-1.0,-1.0,0.0,38,1,2
71,RIGHT,0.001,7.0,-1.0,-1.0,0.0,38,2,2
72,DOWN,0.001,6.0,-1.0,-1.0,0.0,38,2,3
73,A,-0.001,5.0,-1.0,-1.0,0.0,38,2,3
74,A,-0.001,5.0,-1.0,-1.0,0.0,38,2,3
75,RIGHT,0.001,5.0,-1.0,-1.0,0.0,38,3,3
76,RIGHT,0.001,4.0,-1.0,-1.0,0.0,38,4,3
77,B,-0.001,3.0,-1.0,-1.0,0.0,38,4,3
78,A,-0.001,3.0,-1.0,-1.0,0.0,38,4,3
79,UP,0.001,3.0,-1.0,-1.0,0.0,38,4,2
80,UP,0.001,4.0,-1.0,-1.0,0.0,38,4,1
81,DOWN,0.001,5.0,-1.0,-1.0,0.0,38,4,2
82,RIGHT,0.001,4.0,-1.0,-1.0,0.0,38,5,2
83,DOWN,0.001,5.0,-1.0,-1.0,0.0,38,5,3
84,RIGHT,0.001,4.0,-1.0,-1.0,0.0,38,6,3
85,LEFT,0.001,5.0,-1.0,-1.0,0.0,38,5,3
86,A,-0.001,4.0,-1.0,-1.0,0.0,38,5,3
87,UP,0.001,4.0,-1.0,-1.0,0.0,38,5,2
88,LEFT,0.001,5.0,-1.0,-1.0,0.0,38,4,2
89,UP,0.001,4.0,-1.0,-1.0,0.0,38,4,1
90,DOWN,0.001,5.0,-1.0,-1.0,0.0,38,4,2
91,LEFT,0.001,4.0,-1.0,-1.0,0.0,38,3,2
92,LEFT,0.001,5.0,-1.0,-1.0,0.0,38,2,2
93,DOWN,0.001,6.0,-1.0,-1.0,0.0,38,2,3
94,B,-0.001,5.0,-1.0,-1.0,0.0,38,2,3
95,A,-0.001,5.0,-1.0,-1.0,0.0,38,2,3
96,RIGHT,0.001,5.0,-1.0,-1.0,0.0,38,3,3
97,LEFT,0.001,4.0,-1.0,-1.0,0.0,38,2,3
98,B,-0.001,5.0,-1.0,-1.0,0.0,38,2,3
99,LEFT,0.001,5.0,-1.0,-1.0,0.0,38,1,3
100,A,-0.001,6.0,-1.0,-1.0,0.0,38,1,3
101,LEFT,0.001,6.0,-1.0,-1.0,0.0,38,0,3
102,DOWN,0.001,7.0,-1.0,-1.0,0.0,38,0,4
103,A,-0.001,6.0,-1.0,-1.0,0.0,38,0,4
104,RIGHT,0.001,6.0,-1.0,-1.0,0.0,38,1,4
105,DOWN,0.001,5.0,-1.0,-1.0,0.0,38,1,5
106,RIGHT,0.001,4.0,-1.0,-1.0,0.0,38,2,5
107,LEFT,0.001,3.0,-1.0,-1.0,0.0,38,1,5
108,B,-0.001,4.0,-1.0,-1.0,0.0,38,1,5
109,RIGHT,0.001,4.0,-1.0,-1.0,0.0,38,2,5
110,A,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
111,A,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
112,LEFT,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
113,UP,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
114,LEFT,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
115,UP,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
116,B,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
117,UP,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
118,LEFT,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
119,A,-0.001,3.0,-1.0,-1.0,0.0,38,2,5
120,UP,0.001,3.0,-1.0,-1.0,0.0,38,2,4
121,B,-0.001,4.0,-1.0,-1.0,0.0,38,2,4
122,LEFT,0.001,4.0,-1.0,-1.0,0.0,38,1,4
123,LEFT,0.001,5.0,-1.0,-1.0,0.0,38,0,4
124,DOWN,0.001,6.0,-1.0,-1.0,0.0,38,0,5
125,B,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
126,A,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
127,DOWN,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
128,LEFT,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
129,A,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
130,DOWN,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
131,B,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
132,B,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
133,A,-0.001,5.0,-1.0,-1.0,0.0,38,0,5
134,RIGHT,0.001,5.0,-1.0,-1.0,0.0,38,1,5
135,UP,0.001,4.0,-1.0,-1.0,0.0,38,1,4
136,DOWN,0.001,5.0,-1.0,-1.0,0.0,38,1,5
137,A,-0.001,4.0,-1.0,-1.0,0.0,38,1,5
138,B,-0.001,4.0,-1.0,-1.0,0.0,38,1,5
139,RIGHT,0.001,4.0,-1.0,-1.0,0.0,38,2,5
140,DOWN,0.001,3.0,-1.0,-1.0,0.0,38,2,6
141,UP,0.001,2.0,-1.0,-1.0,0.0,38,2,5
142,LEFT,0.001,3.0,-1.0,-1.0,0.0,38,1,5
143,LEFT,0.001,4.0,-1.0,-1.0,0.0,38,0,5
144,UP,0.001,5.0,-1.0,-1.0,0.0,38,0,4
145,DOWN,0.001,6.0,-1.0,-1.0,0.0,38,0,5
